,Year,Country,Losses,ISO,Alpha_2,Continent,Zone
1710,1984,Germany Fed Rep,2477983.0,DEU,DE,EU,Temperate
1727,1984,Canada,2608404.0,CAN,CA,NA,Temperate
1728,1984,Switzerland,25041.0,CHE,CH,EU,Temperate
1744,1984,Spain,2608404.0,ESP,ES,EU,Temperate
1746,1984,Spain,2608.0,ESP,ES,EU,Temperate
1752,1984,United Kingdom of Great Britain and Northern Ireland (the),212585.0,GBR,GB,EU,Temperate
1779,1985,Canada,294733.0,CAN,CA,NA,Temperate
1781,1985,Switzerland,5038.0,CHE,CH,EU,Temperate
1837,1986,Canada,74165.0,CAN,CA,NA,Temperate
1841,1986,Switzerland,259577.0,CHE,CH,EU,Temperate
1883,1987,Canada,631964.0,CAN,CA,NA,Temperate
1884,1987,Canada,26232.0,CAN,CA,NA,Temperate
1885,1987,Canada,414950.0,CAN,CA,NA,Temperate
1887,1987,Switzerland,331245.0,CHE,CH,EU,Temperate
1914,1987,Spain,19078.0,ESP,ES,EU,Temperate
1915,1987,Spain,3059662.0,ESP,ES,EU,Temperate
1918,1987,France,4054112.0,FRA,FR,EU,Temperate
1921,1987,United Kingdom of Great Britain and Northern Ireland (the),3732168.0,GBR,GB,EU,Temperate
1956,1988,Canada,1855983.0,CAN,CA,NA,Temperate
1957,1988,Canada,34370.0,CAN,CA,NA,Temperate
1987,1988,France,1145669.0,FRA,FR,EU,Temperate
2052,1979,New Zealand,9207.0,NZL,NZ,OC,Temperate
2187,1982,Italy,1965583.0,ITA,IT,EU,Temperate
2227,1982,Poland,148823.0,POL,PL,EU,Temperate
2284,1983,Poland,5441.0,POL,PL,EU,Temperate
2330,1984,New Zealand,52168.0,NZL,NZ,OC,Temperate
2340,1985,Italy,37786.0,ITA,IT,EU,Temperate
2382,1986,Hungary,1236081.0,HUN,HU,EU,Temperate
2401,1986,Italy,49443.0,ITA,IT,EU,Temperate
2419,1986,New Zealand,48949.0,NZL,NZ,OC,Temperate
2463,1987,Italy,1490482.0,ITA,IT,EU,Temperate
2464,1987,Italy,166934.0,ITA,IT,EU,Temperate
2465,1987,Italy,186012.0,ITA,IT,EU,Temperate
2466,1987,Italy,1492152.0,ITA,IT,EU,Temperate
2467,1987,Italy,1192386.0,ITA,IT,EU,Temperate
2499,1987,Poland,1192386.0,POL,PL,EU,Temperate
2866,1989,Canada,9180473.0,CAN,CA,NA,Temperate
2892,1990,Austria,20739.0,AUT,AT,EU,Temperate
2893,1990,Austria,248866.0,AUT,AT,EU,Temperate
2894,1990,Austria,248866.0,AUT,AT,EU,Temperate
2895,1990,Belgium,725858.0,BEL,BE,EU,Temperate
2896,1990,Belgium,373298.0,BEL,BE,EU,Temperate
2897,1990,Belgium,124433.0,BEL,BE,EU,Temperate
2898,1990,Belgium,124433.0,BEL,BE,EU,Temperate
2899,1990,Belgium,497731.0,BEL,BE,EU,Temperate
2900,1990,Belgium,186649.0,BEL,BE,EU,Temperate
2916,1990,Canada,17628.0,CAN,CA,NA,Temperate
2918,1990,Switzerland,207388.0,CHE,CH,EU,Temperate
2919,1990,Switzerland,186649.0,CHE,CH,EU,Temperate
2920,1990,Switzerland,186649.0,CHE,CH,EU,Temperate
2943,1990,Germany,2488656.0,DEU,DE,EU,Temperate
2944,1990,Germany,1244328.0,DEU,DE,EU,Temperate
2945,1990,Germany,124433.0,DEU,DE,EU,Temperate
2946,1990,Germany,373298.0,DEU,DE,EU,Temperate
2947,1990,Germany,2488656.0,DEU,DE,EU,Temperate
2948,1990,Germany,2488656.0,DEU,DE,EU,Temperate
2949,1990,Denmark,248866.0,DNK,DK,EU,Temperate
2950,1990,Denmark,124433.0,DNK,DK,EU,Temperate
2951,1990,Denmark,20739.0,DNK,DK,EU,Temperate
2952,1991,Austria,163149.0,AUT,AT,EU,Temperate
2953,1991,Austria,55709.0,AUT,AT,EU,Temperate
2956,1991,Canada,994810.0,CAN,CA,NA,Temperate
2958,1991,Germany Fed Rep,111419.0,DEU,DE,EU,Temperate
